Day fraction since midnight on 	pH probe (pH)
0.6065221225	7.6166591644
0.6065336970	7.6063938141
0.6065452698	7.5988674164
0.6065568399	7.5827479362
0.6065684228	7.5747442245
0.6065799927	7.5732917786
0.6065915675	7.5666408539
0.6066031438	7.5588102341
0.6066147182	7.5500926971
0.6066262952	7.5391154289
0.6066378641	7.5303235054
0.6066494421	7.5259976387
0.6066610112	7.5171365738
0.6066725887	7.5009431839
0.6066841618	7.4887294769
0.6066957318	7.4821810722
0.6067073026	7.4774212837
0.6067188749	7.4696416855
0.6067304523	7.4595007896
0.6067420235	7.4457864761
0.6067536008	7.4356451035
0.6067651699	7.4213552475
0.6067767506	7.4057030678
0.6067883253	7.3953652382
0.6067998987	7.3910951614
0.6068114731	7.3856635094
0.6068230469	7.3823699951
0.6068346230	7.3791227341
0.6068461930	7.3704061508
0.6068577683	7.3573565483
0.6068693479	7.3535647392
0.6068809101	7.3522539139
0.6068924963	7.3462920189
0.6069040685	7.3424129486
0.6069156527	7.3384432793
0.6069272112	7.3331298828
0.6069387920	7.3207831383
0.6069503599	7.3163089752
0.6069619349	7.3090825081
0.6069735130	7.2989082336
0.6069850794	7.2907657623
0.6069966594	7.2881159782
0.6070082353	7.2813391685
0.6070198073	7.2809033394
0.6070313713	7.2699651718
0.6070429553	7.2610630989
0.6070545304	7.2542862892
0.6070661029	7.2503018379
0.6070776723	7.2478370667
0.6070892517	7.2425127029
0.6071008202	7.2319326401
0.6071123945	7.2190933228
0.6071239670	7.2112622261
0.6071355413	7.2092280388
0.6071471205	7.2057394981
0.6071586857	7.2058472633
0.6071702672	7.2047410011
0.6071818350	7.2034182549
0.6071934141	7.1942572594
0.6072049861	7.1876587868
0.6072165554	7.1798977852
0.6072281294	7.1756229401
0.6072397074	7.1732721329
0.6072512779	7.1677432060
0.6072628599	7.1626801491
0.6072744376	7.1583375931
0.6072860089	7.1545381546
0.6072975800	7.1533150673
0.6073091527	7.1470723152
0.6073207334	7.1474728584
0.6073323052	7.1398601532
0.6073438738	7.1303853989
0.6073554512	7.1284275055
0.6073670286	7.1254343987
0.6073785967	7.1178379059
0.6073901776	7.1141333580
0.6074017486	7.1119194031
0.6074133259	7.1047582626
0.6074248867	7.1034274101
0.6074364597	7.1018619537
0.6074480360	7.1039013863
0.6074596145	7.0886611938
0.6074711912	7.0822110176
0.6074827660	7.0729088783
0.6074943389	7.0681838989
0.6075059170	7.0682396889
0.6075174842	7.0641899109
0.6075290566	7.0620312691
0.6075406263	7.0593147278
0.6075522063	7.0517969131
0.6075637821	7.0489449501
0.6075753674	7.0472731590
0.6075869250	7.0409641266
0.6075985048	7.0374984741
0.6076100813	7.0345911980
0.6076216455	7.0328326225
0.6076332246	7.0309939384
0.6076447924	7.0252585411
0.6076563763	7.0228724480
0.6076679587	7.0227999687
0.6076795206	7.0228724480
0.6076910967	7.0218186378
0.6077026716	7.0198564529
0.6077142420	7.0150399208
0.6077258144	7.0142126083
0.6077373892	7.0133156776
0.6077489585	7.0105242729
0.6077605319	7.0068006516
0.6077721182	7.0073566437
0.6077836925	7.0038137436
0.6077952602	6.9973549843
0.6078068381	6.9844913483
0.6078184076	6.9821820259
0.6078299838	6.9782299995
0.6078415564	6.9762883186
0.6078531327	6.9744219780
0.6078647084	6.9752111435
0.6078762917	6.9691557884
0.6078878522	6.9637188911
0.6078994222	6.9643983841
0.6079109992	6.9638204575
0.6079225753	6.9635806084
0.6079341524	6.9645242691
0.6079457163	6.9684405327
0.6079572897	6.9596424103
0.6079688634	6.9574508667
0.6079804380	6.9545750618
0.6079920224	6.9475765228
0.6080035889	6.9414334297
0.6080151705	6.9363751411
0.6080267380	6.9319577217
0.6080383120	6.9233779907
0.6080498947	6.9314174652
0.6080614769	6.9299077988
0.6080730386	6.9313273430
0.6080846120	6.9295434952
0.6080961809	6.9270977974
0.6081077594	6.9137320518
0.6081193301	6.9130506516
0.6081309115	6.9038515091
0.6081424850	6.8998312950
0.6081540645	6.9017243385
0.6081656305	6.8954844475
0.6081772018	6.8936700821
0.6081887739	6.8901538849
0.6082003460	6.8893046379
0.6082119175	6.8885746002
0.6082234980	6.8879890442
0.6082350648	6.8863325119
0.6082466455	6.8820662498
0.6082582131	6.8813042641
0.6082697862	6.8778562546
0.6082813617	6.8736433983
0.6082929434	6.8660101891
0.6083045145	6.8737797737
0.6083160841	6.8671894073
0.6083276608	6.8602461815
0.6083392325	6.8643527031
0.6083508085	6.8710360527
0.6083623900	6.8646378517
0.6083739610	6.8617272377
0.6083855345	6.8598856926
0.6083971133	6.8587884903
0.6084086746	6.8536858559
0.6084202491	6.8513092995
0.6084318232	6.8496603966
0.6084433987	6.8484959602
0.6084549755	6.8489933014
0.6084665580	6.8485131264
0.6084781262	6.8474860191
0.6084897050	6.8495092392
0.6085012714	6.8388915062
0.6085128479	6.8436417580
0.6085244231	6.8429040909
0.6085359980	6.8371915817
0.6085475723	6.8348760605
0.6085591499	6.8346700668
0.6085707145	6.8342881203
0.6085822898	6.8347043991
0.6085938676	6.8362483978
0.6086054343	6.8392658234
0.6086170112	6.8553748131
0.6086285819	6.8318595886
0.6086401668	6.8364710808
0.6086517315	6.8317914009
0.6086633031	6.8327088356
0.6086748792	6.8267621994
0.6086864551	6.8208956718
0.6086980279	6.8169460297
0.6087096072	6.8121299744
0.6087211787	6.8103790283
0.6087327565	6.8082704544
0.6087443303	6.8054466248
0.6087558991	6.8051581383
0.6087674727	6.8080797195
0.6087790514	6.8078756332
0.6087906227	6.8074340820
0.6088022031	6.8096599579
0.6088137656	6.8057522774
0.6088253465	6.8021464348
0.6088369171	6.8002767563
0.6088484910	6.7975316048
0.6088600704	6.7945642471
0.6088716418	6.7945928574
0.6088832215	6.7861247063
0.6088947907	6.7837557793
0.6089063554	6.7792038918
0.6089179495	6.7778911591
0.6089295079	6.7773013115
0.6089410909	6.7776508331
0.6089526570	6.7735390663
0.6089642281	6.7697429657
0.6089758156	6.7668271065
0.6089873794	6.7663798332
0.6089989538	6.7622127533
0.6090105254	6.7625751495
0.6090221093	6.7620239258
0.6090336791	6.7605710030
0.6090452506	6.7591438293
0.6090568194	6.7595853806
0.6090683921	6.7582421303
0.6090799755	6.7584214211
0.6090915480	6.7567148209
0.6091031174	6.7584986687
0.6091146976	6.7577867508
0.6091262627	6.7562732697
0.6091378547	6.7528123856
0.6091494173	6.7510247231
0.6091609926	6.7455563545
0.6091725680	6.7403926849
0.6091841411	6.7340250015
0.6091957148	6.7358226776
0.6092072884	6.7342429161
0.6092188575	6.7267355919
0.6092304355	6.7252116203
0.6092420018	6.7249350548
0.6092535758	6.7226419449
0.6092651562	6.7216095924
0.6092767312	6.7193622589
0.6092882991	6.7187008858
0.6092998795	6.7186717987
0.6093114511	6.7211298943
0.6093230231	6.7168836594
0.6093345943	6.7156949043
0.6093461791	6.7182302475
0.6093577461	6.7189049721
0.6093693254	6.7135300636
0.6093808957	6.7052826881
0.6093924642	6.7073717117
0.6094040482	6.7064628601
0.6094156164	6.6976566315
0.6094271908	6.6859984398
0.6094387590	6.6867003441
0.6094503374	6.6871991158
0.6094619128	6.6850032806
0.6094734868	6.6922206879
0.6094850572	6.6895537376
0.6094966390	6.6865301132
0.6095082120	6.6891121864
0.6095197840	6.6850867271
0.6095313722	6.6813597679
0.6095429338	6.6812729836
0.6095545093	6.6789822578
0.6095660834	6.6791539192
0.6095776548	6.6765599251
0.6095892237	6.6769161224
0.6096007994	6.6807661057
0.6096123712	6.6762709618
0.6096239474	6.6731843948
0.6096355249	6.6713318825
0.6096471016	6.6718959808
0.6096586645	6.6692390442
0.6096702455	6.6702165604
0.6096818179	6.6717019081
0.6096933885	6.6714811325
0.6097049663	6.6693587303
0.6097165355	6.6696467400
0.6097281097	6.6698050499
0.6097396824	6.6690182686
0.6097512582	6.6617941856
0.6097628328	6.6570954323
0.6097744107	6.6535773277
0.6097859794	6.6473617554
0.6097975641	6.6397342682
0.6098091386	6.6423759460
0.6098207108	6.6458158493
0.6098322884	6.6448974609
0.6098438554	6.6500453949
0.6098554265	6.6469030380
0.6098670013	6.6395459175
0.6098785829	6.6341543198
0.6098901451	6.6339430809
0.6099017259	6.6350173950
0.6099133003	6.6350512505
0.6099248763	6.6341767311
0.6099364450	6.6332464218
0.6099480140	6.6365590096
0.6099595894	6.6326498985
0.6099711708	6.6323580742
0.6099827498	6.6306772232
0.6099943165	6.6295571327
0.6100058970	6.6283960342
0.6100174658	6.6277432442
0.6100290375	6.6265544891
0.6100406085	6.6248221397
0.6100521821	6.6240406036
0.6100637534	6.6203036308
0.6100753481	6.6226320267
0.6100869146	6.6154456139
0.6100984877	6.6169066429
0.6101100597	6.6212391853
0.6101216293	6.6212549210
0.6101332071	6.6191153526
0.6101447765	6.6108937263
0.6101563673	6.6096806526
0.6101679226	6.6074452400
0.6101795055	6.6092176437
0.6101910794	6.6048297882
0.6102026469	6.6044559479
0.6102142221	6.6077423096
0.6102257946	6.5996112823
0.6102373641	6.6018028259
0.6102489436	6.6004352570
0.6102605189	6.6014642715
0.6102720961	6.5960264206
0.6102836648	6.5977730751
0.6102952442	6.5943970680
0.6103068078	6.5923109055
0.6103183823	6.5931787491
0.6103299701	6.5907087326
0.6103415314	6.5931053162
0.6103531030	6.5935001373
0.6103646808	6.5930762291
0.6103762561	6.5858540535
0.6103878313	6.5851335526
0.6103994094	6.5878272057
0.6104109815	6.5890326500
0.6104225496	6.5893216133
0.6104341224	6.5762429237
0.6104457037	6.5850992203
0.6104572688	6.5824050903
0.6104688513	6.5824861526
0.6104804184	6.5815081596
0.6104920031	6.5773973465
0.6105035671	6.5739669800
0.6105151494	6.5707244873
0.6105267266	6.5642232895
0.6105383003	6.5587987900
0.6105498708	6.5571851730
0.6105614414	6.5581531525
0.6105730158	6.5504431725
0.6105845942	6.5489568710
0.6105961694	6.5498313904
0.6106077392	6.5493717194
0.6106193105	6.5522251129
0.6106308958	6.5540513992
0.6106424597	6.5499491692
0.6106540291	6.5512061119
0.6106656100	6.5482358932
0.6106771846	6.5467610359
0.6106887554	6.5458064079
0.6107003334	6.5442223549
0.6107119060	6.5407090187
0.6107234772	6.5406408310
0.6107350550	6.5427126884
0.6107466220	6.5422205925
0.6107582027	6.5436391830
0.6107697799	6.5479960442
0.6107813446	6.5399785042
0.6107929189	6.5385956764
0.6108044943	6.5359706879
0.6108160640	6.5273580551
0.6108276370	6.5405220985
0.6108392187	6.5414943695
0.6108507932	6.5424380302
0.6108623653	6.5453290939
0.6108739399	6.5435872078
0.6108855146	6.5415806770
0.6108970888	6.5394363403
0.6109086665	6.5329689980
0.6109202334	6.5306191444
0.6109318124	6.5253014565
0.6109433829	6.5286149979
0.6109549585	6.5360908508
0.6109665361	6.5344099998
0.6109780990	6.5316553116
0.6109896783	6.5280976295
0.6110012467	6.5261859894
0.6110128211	6.5250782967
0.6110244043	6.5338954926
0.6110359701	6.5558428764
0.6110475548	6.5145802498
0.6110591214	6.5159945488
0.6110706991	6.5120072365
0.6110822657	6.5170478821
0.6110938507	6.5192461014
0.6111054137	6.5138034821
0.6111169895	6.5168619156
0.6111285647	6.5171360970
0.6111401445	6.5262279510
0.6111517128	6.5041685104
0.6111632911	6.5103435516
0.6111748661	6.4926581383
0.6111864361	6.5117654800
0.6111980054	6.5107631683
0.6112095887	6.5117330551
0.6112211580	6.5041728020
0.6112327349	6.5040307045
0.6112443101	6.5018348694
0.6112558843	6.4996562004
0.6112674525	6.5036191940
0.6112790314	6.5020198822
0.6112905958	6.5018115044
0.6113021798	6.5002055168
0.6113137494	6.5008430481
0.6113253229	6.5005035400
0.6113368989	6.5004968643
0.6113484735	6.5002737045
0.6113600493	6.5012516975
0.6113716182	6.5012001991
0.6113831936	6.5008707047
0.6113947705	6.4999651909
0.6114063410	6.5002827644
0.6114179117	6.5120201111
0.6114294871	6.4969120026
0.6114410677	6.4828972816
0.6114526416	6.4979052544
0.6114642272	6.4943561554
0.6114757891	6.4978203773
0.6114873615	6.4812932014
0.6114989327	6.4999995232
0.6115105071	6.4886264801
0.6115220881	6.4947676659
0.6115336569	6.4984827042
0.6115452307	6.4940662384
0.6115568070	6.4931206703
0.6115683778	6.4931488037
0.6115799623	6.4995021820
0.6115915193	6.4594559669
0.6116030988	6.4943385124
0.6116146793	6.4866390228
0.6116262520	6.5024571419
0.6116378199	6.5022363663
0.6116493982	6.4937553406
0.6116609719	6.4901256561
0.6116725441	6.4900240898
0.6116841200	6.4924521446
0.6116956861	6.4929113388
0.6117072704	6.4744577408
0.6117188423	6.4813270569
0.6117304126	6.4965615273
0.6117419844	6.4842147827
0.6117535665	6.4914054871
0.6117651414	6.4975810051
0.6117767039	6.4902787209
0.6117882827	6.4948534966
0.6117998571	6.4898447990
0.6118114362	6.4864997864
0.6118230013	6.4838409424
0.6118345827	6.4861221313
0.6118461527	6.4898400307
0.6118577232	6.4814462662
0.6118693048	6.4764986038
0.6118808735	6.4681463242
0.6118924519	6.4611463547
0.6119040281	6.4614205360
0.6119155986	6.4629316330
0.6119271762	6.4656748772
0.6119387437	6.4928941727
0.6119503231	6.4680762291
0.6119618894	6.5417618752
0.6119734735	6.5167908669
0.6119850452	6.5078244209
0.6119966107	6.4697089195
0.6120081868	6.4753837585
0.6120197670	6.4733080864
0.6120313321	6.4681124687
0.6120429052	6.4675517082
0.6120544855	6.4726910591
0.6120660658	6.4717473984
0.6120776269	6.4661421776
0.6120892137	6.4609918594
0.6121007748	6.4604177475
0.6121123537	6.4606146812
0.6121239274	6.4617595673
0.6121355095	6.4804372787
0.6121470714	6.4928603172
0.6121586546	6.4682650566
0.6121702237	6.4692845345
0.6121818002	6.4621067047
0.6121933747	6.4647827148
0.6122049471	6.4650545120
0.6122165196	6.4610290527
0.6122280993	6.4722447395
0.6122396823	6.4548335075
0.6122512396	6.4512939453
0.6122628153	6.4406819344
0.6122743889	6.4378437996
0.6122859695	6.4515571594
0.6122975348	6.4481544495
0.6123091182	6.4289312363
0.6123206850	6.4397630692
0.6123322581	6.4442644119
0.6123438358	6.4462051392
0.6123554136	6.4496531487
0.6123669798	6.4388628006
0.6123785575	6.4289488792
0.6123901240	6.4232363701
0.6124017018	6.4240255356
0.6124132792	6.4251747131
0.6124248454	6.4224720001
0.6124364237	6.4212465286
0.6124480009	6.4232707024
0.6124595902	6.4274907112
0.6124711442	6.4245610237
0.6124827244	6.4176959991
0.6124942906	6.4193296432
0.6125058686	6.4177131653
0.6125174460	6.4163751602
0.6125290122	6.4164085388
0.6125405900	6.4142308235
0.6125521680	6.4139218330
0.6125637396	6.4138436317
0.6125753106	6.4117031097
0.6125868813	6.4115672112
0.6125984596	6.4133043289
0.6126100319	6.4127054214
0.6126216043	6.4129600525
0.6126331859	6.4117946625
0.6126447524	6.4136223793
0.6126563302	6.4089646339
0.6126679079	6.3970427513
0.6126794741	6.4049258232
0.6126910518	6.4085183144
0.6127026292	6.4086041451
0.6127141954	6.4048237801
0.6127257735	6.4012451172
0.6127373628	6.4052419662
0.6127489189	6.4067773819
0.6127605035	6.4007992744
0.6127720763	6.4424810410
0.6127836494	6.3592853546
0.6127952134	6.3574509621
0.6128067982	6.3917422295
0.6128183618	6.3978428841
0.6128299423	6.3785891533
0.6128415142	6.3691034317
0.6128530828	6.3665895462
0.6128646675	6.3725643158
0.6128762383	6.3625807762
0.6128878103	6.3708524704
0.6128993907	6.3527345657
0.6129109641	6.3602371216
0.6129225318	6.3612051010
0.6129341074	6.3626489639
0.6129456857	6.3598084450
0.6129572627	6.3547239304
0.6129688273	6.3613409996
0.6129804050	6.3664574623
0.6129919814	6.3663716316
0.6130035520	6.3664875031
0.6130151228	6.3665213585
0.6130267053	6.3711576462
0.6130382754	6.3643131256
0.6130498491	6.3498754501
0.6130614176	6.3551993370
0.6130729907	6.3898768425
0.6130845696	6.3909702301
0.6130961427	6.3343849182
0.6131077222	6.3336935043
0.6131192854	6.3345546722
0.6131308587	6.3371877670
0.6131424414	6.3374671936
0.6131540137	6.3434548378
0.6131655884	6.2739467621
0.6131771695	6.3445968628
0.6131887387	6.3461728096
0.6132003167	6.4129786491
0.6132118873	6.3871417046
0.6132234564	6.3055601120
0.6132350326	6.3807120323
0.6132465988	6.4119920731
0.6132581800	6.4571666718
0.6132697481	6.4664478302
0.6132813289	6.3018388748
0.6132928977	5.6265258789
0.6133044750	6.0319519043
0.6133160538	6.2553009987
0.6133276230	6.4718818665
0.6133392022	6.2522130013
0.6133507663	6.4943213463
0.6133623449	6.4711809158
0.6133739252	6.4033379555
0.6133854866	6.3597784042
0.6133970717	6.5215620995
0.6134086432	6.4431095123
0.6134202102	6.3612556458
0.6134317944	6.2094831467
0.6134433683	6.2809648514
0.6134549389	6.3635487556
0.6134665139	6.3399877548
0.6134780843	6.3445591927
0.6134896631	6.2348194122
0.6135012292	6.4154744148
0.6135128065	6.2787499428
0.6135243760	6.3393445015
0.6135359529	6.5443425179
0.6135475353	6.3614139557
0.6135591027	6.3142733574
0.6135706768	6.4489865303
0.6135822567	6.5659389496
0.6135938262	6.3051857948
0.6136053948	6.4769105911
0.6136169802	6.4832406044
0.6136285519	6.6380023956
0.6136401339	6.6344680786
0.6136516984	6.2916827202
0.6136632626	6.3730611801
0.6136748360	6.2985110283
0.6136864169	6.2789902687
0.6136979953	6.2800879478
0.6137095626	6.2616696358
0.6137211320	6.2319612503
0.6137327149	6.2759027481
0.6137442800	6.2835292816
0.6137558660	6.2785239220
0.6137674330	6.2769737244
0.6137790047	6.2617883682
0.6137905842	6.2567586899
0.6138021538	6.2533116341
0.6138137258	6.2483015060
0.6138253175	6.2459173203
0.6138368847	6.2452783585
0.6138484589	6.2475128174
0.6138600262	6.2469258308
0.6138716022	6.2451353073
0.6138831683	6.2460083961
0.6138947501	6.2479419708
0.6139063297	6.2522473335
0.6139178956	6.2512230873
0.6139294637	6.2549600601
0.6139410413	6.2561411858
0.6139526260	6.2545976639
0.6139641943	6.2542805672
0.6139757726	6.2525391579
0.6139873412	6.2517294884
0.6139989120	6.2476387024
0.6140104894	6.2434992790
0.6140220625	6.2364802361
0.6140336349	6.2286486626
0.6140452054	6.2321310043
0.6140568004	6.2243380547
0.6140683583	6.2185087204
0.6140799300	6.2177271843
0.6140915100	6.2078533173
0.6141030802	6.2030701637
0.6141146489	6.2010474205
0.6141262302	6.2000999451
0.6141378062	6.2003569603
0.6141493778	6.1992468834
0.6141609478	6.1984653473
0.6141725237	6.1956734657
0.6141840998	6.1944212914
0.6141956771	6.1927752495
0.6142072402	6.1927413940
0.6142188214	6.1930689812
0.6142303997	6.1868400574
0.6142419746	6.1865143776
0.6142535478	6.1830258369
0.6142651112	6.1769957542
0.6142766917	6.1686229706
0.6142882571	6.1602134705
0.6142998386	6.1603369713
0.6143114152	6.1577634811
0.6143229857	6.1561717987
0.6143345643	6.1552915573
0.6143461379	6.1531744003
0.6143577115	6.1540489197
0.6143692814	6.1540317535
0.6143808580	6.1542997360
0.6143924301	6.1534204483
0.6144040076	6.1538023949
0.6144155750	6.1541509628
0.6144271497	6.1544198990
0.6144387315	6.1542825699
0.6144503794	6.1559581757
0.6144618671	6.1566033363
0.6144734488	6.1554489136
0.6144850220	6.1544394493
0.6144965970	6.1547112465
0.6145081647	6.1552371979
0.6145197391	6.1549859047
0.6145313168	6.1540937424
0.6145428868	6.1535902023
0.6145544681	6.1568899155
0.6145659332	6.1707158089
0.6145776101	6.2659945488
0.6145891932	6.5121273994
0.6146007562	6.7021059990
0.6146123375	6.6617083549
0.6146239159	6.6960330009
0.6146354838	6.6766958237
0.6146470612	6.6482086182
0.6146586283	6.6991000175
0.6146702045	6.5232944489
0.6146817767	6.6764750481
0.6146933528	6.6030015945
0.6147049304	6.6697535515
0.6147165076	6.4095306396
0.6147280736	6.5912919044
0.6147396621	6.6778845787
0.6147512277	6.4477639198
0.6147627908	6.3580965996
0.6147743776	6.5700383186
0.6147859590	6.5989255905
0.6147975230	6.4796628952
0.6148090936	6.3990788460
0.6148206669	6.6146302223
0.6148322456	6.5958037376
0.6148438162	6.3648738861
0.6148553880	6.3365416527
0.6148669763	6.3440713882
0.6148785301	6.5104746819
0.6148901044	6.6716575623
0.6149016841	6.4613347054
0.6149132532	6.3726701736
0.6149248332	6.6404037476
0.6149364096	6.5030117035
0.6149479768	6.4829578400
0.6149595506	6.3424696922
0.6149711255	6.3608484268
0.6149826964	6.2855505943
0.6149942851	6.1226677895
0.6150058543	6.0865731239
0.6150174213	6.0881443024
0.6150290055	6.0777249336
0.6150405725	6.0748877525
0.6150521420	6.0781226158
0.6150637173	6.0762324333
0.6150752989	6.0691299438
0.6150868623	6.0680327415
0.6150984439	6.0642766953
0.6151100211	6.0583238602
0.6151215887	6.0637016296
0.6151331658	6.0644998550
0.6151447401	6.0646028519
0.6151563202	6.0622825623
0.6151678914	6.0638384819
0.6151794558	6.0648064613
0.6151910415	6.0664544106
0.6152026126	6.0664029121
0.6152141832	6.0663857460
0.6152257643	6.0688219070
0.6152373322	6.0682702065
0.6152489075	6.0639333725
0.6152604844	6.0603485107
0.6152720649	6.0594372749
0.6152836256	6.0575022697
0.6152952005	6.0601425171
0.6153067806	6.0545496941
0.6153183486	6.0491619110
0.6153299296	6.0498671532
0.6153415049	6.0537610054
0.6153530712	6.0421304703
0.6153646433	6.0337390900
0.6153762196	6.0279102325
0.6153877858	6.0208950043
0.6153993695	6.0171885490
0.6154109373	6.0200991631
0.6154225095	6.0148339272
0.6154340931	6.0119743347
0.6154456646	6.0029273033
0.6154572418	5.9955239296
0.6154688108	5.9884386063
0.6154803801	5.9903073311
0.6154919580	5.9918360710
0.6155035362	5.9840364456
0.6155151087	5.9820342064
0.6155266820	5.9816603661
0.6155382491	5.9809813499
0.6155498250	5.9820055962
0.6155614031	5.9823832512
0.6155729798	5.9796042442
0.6155845538	6.0039124489
0.6155961238	6.0846958160
0.6156076987	6.1428060532
0.6156192682	6.1860828400
0.6156308523	6.1554317474
0.6156424238	6.1835522652
0.6156539905	6.1608257294
0.6156655614	6.1823291779
0.6156771418	6.1414680481
0.6156887143	6.1646475792
0.6157002905	6.1410737038
0.6157118579	6.1572756767
0.6157234373	6.1662554741
0.6157350232	6.1602644920
0.6157465867	6.1464214325
0.6157581572	6.1470332146
0.6157697383	6.1350011826
0.6157813115	6.1308798790
0.6157928822	6.1556110382
0.6158044627	6.1336116791
0.6158160269	6.1541500092
0.6158275977	6.1097836494
0.6158391712	6.1265487671
0.6158507537	6.1087045670
0.6158623253	6.1406974792
0.6158739025	6.1037125587
0.6158854725	6.1513133049
0.6158970554	6.1126842499
0.6159086229	6.1227946281
0.6159201949	6.1028876305
0.6159317649	6.1246123314
0.6159433497	6.0870733261
0.6159549242	6.1144165993
0.6159664925	6.1204891205
0.6159780655	6.1332068443
0.6159896360	6.0912866592
0.6160012166	6.1100769043
0.6160127866	6.0748276711
0.6160243652	6.0883946419
0.6160359383	6.0916943550
0.6160475034	6.0945649147
0.6160590851	6.0934720039
0.6160706556	6.0795326233
0.6160822365	6.0902714729
0.6160938071	6.0572304726
0.6161053749	6.0920510292
0.6161169517	6.0684614182
0.6161285301	6.1182079315
0.6161401002	6.0730099678
0.6161516727	6.1011719704
0.6161632446	6.0404314995
0.6161748245	6.0883774757
0.6161863959	6.0441174507
0.6161979701	6.0924253464
0.6162095441	6.0645680428
0.6162211185	6.0850491524
0.6162326975	6.0302085876
0.6162442696	6.0769505501
0.6162558407	6.0565629005
0.6162674135	6.0661644936
0.6162789885	6.0557680130
0.6162905621	6.0635490417
0.6163021364	6.0602965355
0.6163137137	6.0518398285
0.6163252877	6.0369496346
0.6163368648	6.0405011177
0.6163484372	6.0383591652
0.6163600028	6.0453238487
0.6163715886	6.0864338875
0.6163831624	6.0498924255
0.6163947277	6.0519986153
0.6164063082	6.0120258331
0.6164178775	6.0361509323
0.6164294571	6.0129694939
0.6164410254	6.0717530251
0.6164525940	6.0485677719
0.6164641737	6.0324044228
0.6164757503	5.9910292625
0.6164873280	6.0388541222
0.6164988941	6.0114879608
0.6165104692	6.0402264595
0.6165220425	6.0132718086
0.6165336158	6.0347242355
0.6165451901	5.9708652496
0.6165567725	5.9928646088
0.6165683429	5.9801664352
0.6165799201	5.9960207939
0.6165914873	6.0021629333
0.6166030657	6.0233988762
0.6166146359	5.9899334908
0.6166262102	5.9798450470
0.6166377864	5.9902405739
0.6166493570	5.9856700897
0.6166609249	6.0029468536
0.6166725089	5.9871354103
0.6166840835	5.9713025093
0.6166956548	5.9599537849
0.6167072302	6.0412044525
0.6167188030	6.0078873634
0.6167303697	6.0176882744
0.6167419418	5.9889650345
0.6167535273	6.0019907951
0.6167650935	5.9397234917
0.6167766651	5.9779410362
0.6167882457	5.9384880066
0.6167998246	5.9906177521
0.6168113971	5.9611597061
0.6168229676	5.9836826324
0.6168345440	5.9345932007
0.6168461092	5.9734573364
0.6168576884	5.9344048500
0.6168692633	5.9678888321
0.6168808369	5.9666800499
0.6168924041	5.9758148193
0.6169039910	5.9490027428
0.6169155620	5.9524798393
0.6169271381	5.9505295753
0.6169387048	5.9488282204
0.6169502810	5.9723830223
0.6169618559	5.9334101677
